GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Sistema Gestión Pre-Sustentaciones UTEQ,ec.edu.uteq.presustentaciones.services,AuditoriaService,66,4,8,0,16,1,8,1,4,1
Sistema Gestión Pre-Sustentaciones UTEQ,ec.edu.uteq.presustentaciones.services,EmailService,89,4,4,0,20,1,6,1,4,1
Sistema Gestión Pre-Sustentaciones UTEQ,ec.edu.uteq.presustentaciones.services,TutoriaServiceImpl,426,706,41,35,75,177,56,16,22,12
Sistema Gestión Pre-Sustentaciones UTEQ,ec.edu.uteq.presustentaciones.services,CatalogoAdminService,62,0,0,0,17,0,5,0,5,0
Sistema Gestión Pre-Sustentaciones UTEQ,ec.edu.uteq.presustentaciones.services,TutorServiceImpl,366,0,12,0,75,0,19,0,13,0
Sistema Gestión Pre-Sustentaciones UTEQ,ec.edu.uteq.presustentaciones.services,ActaServiceImpl,555,1206,46,48,66,188,37,28,5,13
Sistema Gestión Pre-Sustentaciones UTEQ,ec.edu.uteq.presustentaciones.services,CronogramaServiceImpl,309,227,22,14,53,49,27,11,15,5
Sistema Gestión Pre-Sustentaciones UTEQ,ec.edu.uteq.presustentaciones.services,NotificacionServiceImpl,12,158,3,11,3,36,5,12,2,8
Sistema Gestión Pre-Sustentaciones UTEQ,ec.edu.uteq.presustentaciones.services,EvaluacionJuradoService,0,230,3,17,0,55,3,15,0,8
Sistema Gestión Pre-Sustentaciones UTEQ,ec.edu.uteq.presustentaciones.services,EstudianteService,547,0,56,0,102,0,47,0,19,0
Sistema Gestión Pre-Sustentaciones UTEQ,ec.edu.uteq.presustentaciones.services,RubricaEvaluacionServiceImpl,857,76,69,3,191,9,54,5,19,4
Sistema Gestión Pre-Sustentaciones UTEQ,ec.edu.uteq.presustentaciones.services,UsuarioServiceImpl,108,181,7,5,17,38,15,11,10,10
Sistema Gestión Pre-Sustentaciones UTEQ,ec.edu.uteq.presustentaciones.security.jwt,JwtAuthenticationFilter,35,79,9,7,5,18,6,6,0,4
Sistema Gestión Pre-Sustentaciones UTEQ,ec.edu.uteq.presustentaciones.security.jwt,JwtTokenProvider,96,198,14,10,30,57,12,14,2,12
